arxiv_id,title,authors,published_date,pdf_url,search_query
2306.00947v1,EEL: Efficiently Encoding Lattices for Reranking,"Prasann Singhal, Jiacheng Xu, Xi Ye, Greg Durrett",2023-06-01T17:45:32+00:00,https://arxiv.org/pdf/2306.00947v1,reranking large language models
2407.01505v1,Self-Cognition in Large Language Models: An Exploratory Study,"Dongping Chen, Jiawen Shi, Yao Wan, Pan Zhou, Neil Zhenqiang Gong, Lichao Sun",2024-07-01T17:52:05+00:00,https://arxiv.org/pdf/2407.01505v1,reranking large language models
2309.02144v1,Making Large Language Models Better Reasoners with Alignment,"Peiyi Wang, Lei Li, Liang Chen, Feifan Song, Binghuai Lin, Yunbo Cao, Tianyu Liu, Zhifang Sui",2023-09-05T11:32:48+00:00,https://arxiv.org/pdf/2309.02144v1,reranking large language models
2407.08029v1,A Critical Review of Causal Reasoning Benchmarks for Large Language Models,"Linying Yang, Vik Shirvaikar, Oscar Clivio, Fabian Falck",2024-07-10T20:11:51+00:00,https://arxiv.org/pdf/2407.08029v1,reranking large language models
2310.00905v2,All Languages Matter: On the Multilingual Safety of Large Language Models,"Wenxuan Wang, Zhaopeng Tu, Chang Chen, Youliang Yuan, Jen-tse Huang, Wenxiang Jiao, Michael R. Lyu",2023-10-02T05:23:34+00:00,https://arxiv.org/pdf/2310.00905v2,reranking large language models
2312.05434v1,Beneath the Surface: Unveiling Harmful Memes with Multimodal Reasoning Distilled from Large Language Models,"Hongzhan Lin, Ziyang Luo, Jing Ma, Long Chen",2023-12-09T01:59:11+00:00,https://arxiv.org/pdf/2312.05434v1,reranking large language models
2512.06483v1,Classifying German Language Proficiency Levels Using Large Language Models,"Elias-Leander Ahlers, Witold Brunsmann, Malte Schilling",2025-12-06T16:15:45+00:00,https://arxiv.org/pdf/2512.06483v1,reranking large language models
2306.13549v4,A Survey on Multimodal Large Language Models,"Shukang Yin, Chaoyou Fu, Sirui Zhao, Ke Li, Xing Sun, Tong Xu, Enhong Chen",2023-06-23T15:21:52+00:00,https://arxiv.org/pdf/2306.13549v4,reranking large language models
2402.14800v2,Not All Experts are Equal: Efficient Expert Pruning and Skipping for Mixture-of-Experts Large Language Models,"Xudong Lu, Qi Liu, Yuhui Xu, Aojun Zhou, Siyuan Huang, Bo Zhang, Junchi Yan, Hongsheng Li",2024-02-22T18:56:07+00:00,https://arxiv.org/pdf/2402.14800v2,reranking large language models
2404.16891v1,Attacks on Third-Party APIs of Large Language Models,"Wanru Zhao, Vidit Khazanchi, Haodi Xing, Xuanli He, Qiongkai Xu, Nicholas Donald Lane",2024-04-24T19:27:02+00:00,https://arxiv.org/pdf/2404.16891v1,reranking large language models
2311.04589v3,TEAL: Tokenize and Embed ALL for Multi-modal Large Language Models,"Zhen Yang, Yingxue Zhang, Fandong Meng, Jie Zhou",2023-11-08T10:34:16+00:00,https://arxiv.org/pdf/2311.04589v3,reranking large language models
2305.03715v1,Large Language Models in Ambulatory Devices for Home Health Diagnostics: A case study of Sickle Cell Anemia Management,"Oluwatosin Ogundare, Subuola Sofolahan",2023-05-05T17:55:49+00:00,https://arxiv.org/pdf/2305.03715v1,reranking large language models
2412.16117v1,PruneVid: Visual Token Pruning for Efficient Video Large Language Models,"Xiaohu Huang, Hao Zhou, Kai Han",2024-12-20T18:01:58+00:00,https://arxiv.org/pdf/2412.16117v1,reranking large language models
2509.16679v1,Reinforcement Learning Meets Large Language Models: A Survey of Advancements and Applications Across the LLM Lifecycle,"Keliang Liu, Dingkang Yang, Ziyun Qian, Weijie Yin, Yuchi Wang, Hongsheng Li, Jun Liu, Peng Zhai, Yang Liu, Lihua Zhang",2025-09-20T13:11:28+00:00,https://arxiv.org/pdf/2509.16679v1,reranking large language models
2305.14982v2,LAraBench: Benchmarking Arabic AI with Large Language Models,"Ahmed Abdelali, Hamdy Mubarak, Shammur Absar Chowdhury, Maram Hasanain, Basel Mousi, Sabri Boughorbel, Yassine El Kheir, Daniel Izham, Fahim Dalvi, Majd Hawasly, Nizi Nazar, Yousseif Elshahawy, Ahmed Ali, Nadir Durrani, Natasa Milic-Frayling, Firoj Alam",2023-05-24T10:16:16+00:00,https://arxiv.org/pdf/2305.14982v2,reranking large language models
2403.09832v1,Scaling Behavior of Machine Translation with Large Language Models under Prompt Injection Attacks,"Zhifan Sun, Antonio Valerio Miceli-Barone",2024-03-14T19:39:10+00:00,https://arxiv.org/pdf/2403.09832v1,reranking large language models
2504.16021v1,Navigating the State of Cognitive Flow: Context-Aware AI Interventions for Effective Reasoning Support,"Dinithi Dissanayake, Suranga Nanayakkara",2025-04-22T16:35:39+00:00,https://arxiv.org/pdf/2504.16021v1,agentic AI reasoning
2507.08804v1,Cognitive Dissonance Artificial Intelligence (CD-AI): The Mind at War with Itself. Harnessing Discomfort to Sharpen Critical Thinking,Delia Deliu,2025-04-23T03:18:05+00:00,https://arxiv.org/pdf/2507.08804v1,agentic AI reasoning
2504.14996v1,Distributed Cognition for AI-supported Remote Operations: Challenges and Research Directions,"Rune Møberg Jacobsen, Joel Wester, Helena Bøjer Djernæs, Niels van Berkel",2025-04-21T09:53:49+00:00,https://arxiv.org/pdf/2504.14996v1,agentic AI reasoning
2601.12538v1,Agentic Reasoning for Large Language Models,"Tianxin Wei, Ting-Wei Li, Zhining Liu, Xuying Ning, Ze Yang, Jiaru Zou, Zhichen Zeng, Ruizhong Qiu, Xiao Lin, Dongqi Fu, Zihao Li, Mengting Ai, Duo Zhou, Wenxuan Bao, Yunzhe Li, Gaotang Li, Cheng Qian, Yu Wang, Xiangru Tang, Yin Xiao, Liri Fang, Hui Liu, Xianfeng Tang, Yuji Zhang, Chi Wang, Jiaxuan You, Heng Ji, Hanghang Tong, Jingrui He",2026-01-18T18:58:23+00:00,https://arxiv.org/pdf/2601.12538v1,agentic AI reasoning
2504.16883v1,Enhancing Critical Thinking with AI: A Tailored Warning System for RAG Models,"Xuyang Zhu, Sejoon Chang, Andrew Kuik",2025-04-23T17:00:25+00:00,https://arxiv.org/pdf/2504.16883v1,agentic AI reasoning
2504.16770v1,DeBiasMe: De-biasing Human-AI Interactions with Metacognitive AIED (AI in Education) Interventions,Chaeyeon Lim,2025-04-23T14:41:31+00:00,https://arxiv.org/pdf/2504.16770v1,agentic AI reasoning
2605.23989v1,"Towards trustworthy agentic AI: a comprehensive survey of safety, robustness, privacy, and system security","Jinhu Qi, Muzhi Li, Jiahong Liu, Yuqin Shu, Dianzhi Yu, Shicheng Ma, Wenqian Cui, Yiyang Zhao, Yiyi Chen, Ruoxi Jiang, Irwin King, Zenglin Xu",2026-05-17T10:26:37+00:00,https://arxiv.org/pdf/2605.23989v1,agentic AI reasoning
2512.13278v2,AutoTool: Dynamic Tool Selection and Integration for Agentic Reasoning,"Jiaru Zou, Ling Yang, Yunzhe Qi, Sirui Chen, Mengting Ai, Ke Shen, Jingrui He, Mengdi Wang",2025-12-15T12:38:04+00:00,https://arxiv.org/pdf/2512.13278v2,agentic AI reasoning
